method,size,shape,initial_previous_us,previous_us,candidate_us,speedup,repeat_previous_us,repeat_candidate_us,repeat_speedup,previous_bytes,candidate_bytes,native_us
ToRecord,32,iterator,0.6356093235368634,0.7871986345210156,0.771047227926078,1.0209473635465633,0.600704,0.6157013333333333,0.9756418696510862,1712,1704,0.4822635135135135
ToRecordIndexed,32,iterator,0.6346465670129212,0.70464,0.73697,0.9561311858013216,0.5812672506900276,0.58244,0.9979864890632986,1624,1624,
Filter,1000,array,8.163974151857834,9.631578947368421,2.8028882575757574,3.436305004787761,7.9144,2.275205895101864,3.4785423231534223,3968,3808,2.7515192135835567
FilterIndexed,1000,array,7.565490797546012,8.417289719626169,4.615882352941177,1.823549448625524,7.180571428571428,4.073008507347254,1.7629649964193486,3880,3904,7.149681528662421
Map,1000,array,10.768484848484848,12.550799999999999,2.2726283577014623,5.522592357640862,10.411568627450979,1.8606796116504853,5.595573016579446,8704,4072,2.2279151943462896
MapIndexed,1000,array,10.224308300395258,12.109016393442623,11.268301886792452,1.0746088022043117,9.82389210019268,9.130754716981132,1.0759123867299238,8616,8600,10.27621359223301
Reduce,1000,array,4.308759757155247,4.851215121512151,3.7921768707482992,1.2792692131353238,4.194796183868171,3.237769328263625,1.2955821612275842,120,32,3.802312925170068
ReduceIndexed,1000,array,3.648936170212766,4.131014063656551,4.105575935436537,1.0061959950613626,3.492362598144183,3.489010989010989,1.000960618680695,32,32,
ForEach,1000,array,4.34174672489083,4.894709453599306,2.7620253164556963,1.7721450359044235,4.22311600338696,2.3980859010270774,1.7610361670439911,208,88,
ForEachIndexed,1000,array,3.63353428786737,4.013323464100666,4.08185212845407,0.9832113799822146,3.4980014275517486,3.5048076923076925,0.9980580204811573,120,120,
Concat,1000,array,1.1202981452591436,1.518619972260749,1.534361997226075,0.9897403448509638,1.0191176470588235,0.9963598543941757,1.0228409370011051,16048,16048,0.832511100148002
Slice,1000,array,0.18418666666666667,0.20829,0.12608,1.6520463197969544,0.17701,0.103065,1.7174598554310385,312,200,0.09858
ToRecord,1000,array,14.163829787234043,18.706303724928368,10.492344497607656,1.7828526054585385,14.193601895734597,7.894868238557558,1.797826317913047,73288,22248,8.795460277427491
ToRecordIndexed,1000,array,14.76648501362398,17.747169811320756,10.041717791411042,1.7673440122466297,12.945124716553288,7.758698727015558,1.6684659595659705,73200,22224,
ReduceIndexedTypedArray,1000,array,,4.105424696645254,1.5329599551946234,2.678103027240547,3.496113074204947,1.3048897897137066,2.679240118027129,32,0,
ForEachIndexedTypedArray,1000,array,,4.042843419788665,2.791956782713085,1.4480322348901227,3.5017130620985006,2.361624649859944,1.4827559757670083,120,88,
FilterAsync,1000,array,12.575882352941177,12.251,7.54,1.6248010610079575,9.6525,4.544,2.124229753521127,,,
ConcatAsync,1000,array,4.946000000000001,5.106,5.281528662420382,0.9667655571635311,3.236,3.2739999999999996,0.9883934025656691,,,
ForEachAsync,1000,array,10.2475,9.552999999999999,6.576499999999999,1.4525963658480956,5.921,3.8335000000000004,1.5445415416721011,,,
FilterParallel,1000,array,19.503,23.576,24.59702380952381,0.9584899450669119,13.450999999999999,12.8595,1.045997122749718,,,
FilterParallelCpu,1000,array,62.91287128712871,71.6925,73.9673076923077,0.9692457686607907,53.09069767441861,53.53181818181818,0.9917596576693635,,,
FilterParallelAsync,1000,array,34.47218045112782,36.35419847328244,37.703676470588235,0.9642083180307763,21.055500000000002,21.7775,0.9668465158994376,,,
ForEachParallel,1000,array,53.333333333333336,59.83181818181818,58.31578947368421,1.0259968821791925,47.7344537815126,48.518,0.98385040153165,,,
ToDictionaryParallel,1000,array,138.9469387755102,144.77872340425532,51.83737373737373,2.7929409413708917,93.91818181818181,39.72802547770701,2.364028433048682,,,
Filter,1000,list,10.11299790356394,12.16369294605809,2.8345578231292516,4.291213552535613,10.018446601941747,2.333978873239437,4.29243242807793,3976,3832,2.825256769374416
FilterIndexed,1000,list,9.800562851782363,10.877467411545624,6.659765208110993,1.6333109459020942,9.467706422018347,5.488653234358431,1.7249598431089495,3888,3904,12.988069414316703
Map,1000,list,16.618506493506494,18.179605263157896,2.031196319018405,8.950196046014579,15.544615384615385,1.566846684668467,9.920954957953981,8712,4096,1.9421666666666666
MapIndexed,1000,list,16.123809523809523,18.806024096385542,17.588825214899714,1.0692029664638842,15.358160237388724,14.360224089635855,1.069493076258685,8624,8608,17.01551724137931
Reduce,1000,list,9.133513513513515,10.269345794392525,9.470930232558139,1.084301704503078,8.869942196531792,7.8978159126365055,1.123087989723828,128,40,9.2658940397351
ReduceIndexed,1000,list,8.599823321554771,9.633222591362125,9.502306425041185,1.013777304210685,8.235179153094462,8.210912052117264,1.0029554696023009,40,40,
ForEach,1000,list,9.425988700564972,10.129158878504674,2.569842878864673,3.941547929568215,8.889752650176678,2.3987394957983197,3.7060100380838135,216,88,
ForEachIndexed,1000,list,8.57719298245614,8.40193661971831,8.495121951219511,0.9890307246869099,8.218954248366012,8.186807817589576,1.003926613582814,128,128,
Concat,1000,list,1.2882,1.1466111977812445,1.1612961296129614,0.9873547052665963,1.0660833333333333,1.0645865834633386,1.0014059447049628,16080,16080,0.6099603984159366
Slice,1000,list,0.2720575489686254,0.26875333333333334,0.07567,3.551649707061363,0.26282851314052563,0.07005,3.752013035553542,312,200,0.06854
ToRecord,1000,list,20.83420074349442,19.66638655462185,13.143943661971832,1.4962318053386676,18.49013157894737,12.535962877030162,1.474967001763153,73296,22256,6.603235747303544
ToRecordIndexed,1000,list,19.48668831168831,20.162717770034842,13.706862745098038,1.4709943584461442,19.55110410094637,13.681818181818182,1.4289843528930903,73208,22232,
Filter,1000,iterator,8.859154929577464,8.771306209850106,6.046833930704898,1.4505617833012998,8.491764705882353,6.083765501691094,1.3958073669213438,3992,3872,5.914084507042253
FilterIndexed,1000,iterator,8.23031746031746,9.207705192629815,6.919815059445178,1.330628797667329,7.8730275229357805,6.299386503067485,1.2498086153472265,3904,3960,10.556048387096775
Map,1000,iterator,15.689766081871344,18.782018927444796,7.303114186851212,2.571782180437575,15.167272727272726,5.728571428571429,2.6476535932895033,8728,8608,6.772136953955136
MapIndexed,1000,iterator,14.551008645533141,15.760439560439561,15.79881305637982,0.9975711152601578,14.39862258953168,13.795977011494253,1.0436827038444125,8640,8624,14.995323741007194
Reduce,1000,iterator,7.609606299212599,8.043260188087775,6.878933333333333,1.169259796299006,7.376339285714285,6.369077306733167,1.1581488071931982,144,56,6.726826029216467
ReduceIndexed,1000,iterator,6.878854625550661,7.225662482566248,7.28468834688347,0.9918972697929522,6.6574636723910166,6.638069705093834,1.0029216275451733,56,56,
ForEach,1000,iterator,7.707762557077626,8.411060606060607,4.603445447087777,1.8271229023429822,8.576271186440678,4.10968,2.0868464664987734,232,144,
ForEachIndexed,1000,iterator,6.858840169731258,7.067787114845938,7.101109570041609,0.9953074297943166,6.676726726726726,6.6737051792828685,1.000452754109252,144,144,
Concat,1000,iterator,19.081481481481482,19.096254681647938,7.257997399219765,2.631063863938665,17.843686006825937,6.6513715710723185,2.682707741728105,16792,12664,7.237870619946092
Slice,1000,iterator,14.126436781609195,14.443131868131868,1.2902710919685836,11.19387387505969,13.772144846796657,1.1943110897743638,11.531455216913853,928,424,1.2478179696616103
